nome_attrattore,risorsa_territoriale,codice_istat_comune,comume,indirizzo,numerocivico,cap,latitudine,longitudine,sitoweb,email,telefono,fax,cellulare,servizi,attrezzature,foto1,autore_foto1,foto2,autore_foto2,foto3,autore_foto3,descrizione
Chiesa rupestre di San Giovanni Battista,Chiese ipogee,074007,Fasano (BR),Strada Provinciale Fasano-Savelletri,,72015,40.860645,17.396587,www.lamadantico.it,info@lamadantico.it,,,+393283597517 - +393388175123,Servizi Igienici e docce-Visite guidate-Bar - Punto ristoro,Parcheggio gratuito,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/fasano_san_giovanni_iris_1429022319643.jpg,Iris Soc. Coop.,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/fasano_san_giovanni1_iris_1429022319741.jpg,Iris Soc. Coop.,,,Cuore di uno degli insediamenti rupestri più importanti della regione  la chiesetta di San Giovanni Battista  insieme a quella di  San Lorenzo   fa parte del  Parco Rupestre di Lama d'Antico   straordinaria finestra sulla storia  tra macchia mediterranea e filari d'ulivi  nella terra di  Fasano .     La chiesa di San Giovanni  completamente scavata nel banco roccioso  alla maniera delle cripte bizantine  regala una forte  suggestione di sacralità   grazie all'ottimo stato di conservazione dei tanti elementi liturgici  come la piccola abside  l'iconostasi e numerosi dipinti  tra cui l'affresco principale  raffigurante  San Giovanni Battista .     Davanti alla cappella si trova  inoltre  una  vasca  con gradini  forse un fonte battesimale. La facciata della cripta è invece in parte crollata ed è stata sostituita da strutture in tufo. 
Cripta del Santuario di Santa Maria della Nova,Chiese ipogee,074012,Ostuni (BR),Via Don Giovanni Bosco,,72017,40.729523,17.577997,,,+390831304801 ,,,Visite guidate,Parcheggio gratuito,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_santa_maria_nova_iris_1429023287084.jpg,Iris Soc. Coop.,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_santa_maria_nova1_iris_1429023287247.jpg,Iris Soc. Coop.,,,Risale all'anno Mille la grotta  di origine carsica  scavata all'interno di una lama e dedicata a Santa Maria della Nova  sulla quale si erge l'omonimo santuario  considerato l' edificio religioso più antico  di  Ostuni   sorto nel 1560.     Si accede alla cripta attraverso due porte presenti ai lati dell'altare della chiesa superiore. Lunga circa 35 metri  la cripta è tra le più antiche chiese rupestri  utilizzata dai monaci basiliani fino al Seicento  quando fu poi adibita a  lazzaretto .     La forte sacralità del luogo di culto è rafforzata dagli  affreschi   conservati in ottimo stato  della Deesis  della Crocifissione  della Vergine bizantina e della Madonna del Latte.     Ogni anno  la prima e la seconda domenica dopo Pasqua  si attua il tradizionale  pellegrinaggio  al santuario  durante il quale i fedeli recano omaggio alla Madonna della Buona Novella.   
Frantoio ipogeo 'Lacopagliaro',Frantoi ipogei,074012,Ostuni (BR),Strada Provinciale  21 Ostuni - Torre Pozzelle ,,72017,40.74608,17.631033,,info.ostuni@viaggiareinpuglia.it,+390831301268,,,Informazioni,,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_frantoio_1429023964066.jpg,,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_frantoio1_1429023966481.jpg,,,,Coccolato della Piana degli Ulivi  in agro di  Ostuni   il Frantoio Ipogeo Lacopagliaro si presenta come un vero museo della civiltà rurale.     Di epoca medievale  conserva al suo interno diversi ambienti tra cui la  fucagna   primitiva cucina col focolare sempre acceso  il ricovero per gli animali  i luoghi dello stoccaggio e lavorazione dell'olio con le antiche presse in legno e le macine in pietra.    Di particolare fascino sono gli  antichi alloggi  delle maestranze dell'epoca che  a turno  lavoravano in questi ambienti sotterranei da ottobre fino a giugno.
Grotta del Santuario di Sant'Oronzo,Chiese ipogee,074012,Ostuni (BR),Via dei Colli,,72017,41.891552,12.5765295,www.villasantoronzo.it,,+393897977008,,,,,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_santoronzo_iris_1429023443589.jpg,Iris Soc. Coop.,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_santoronzo1_iris_1429023443701.jpg,Iris Soc. Coop.,,,Grotta carsica  imbiancata a calce  di forma irregolare  presente all'interno del Santuario di Sant'Oronzo  del XVII sec. d.C. Vi si accede per mezzo di una scalinata ricavata nella roccia.    Fra gli elementi di pregio   un affresco del XVI sec. d.C . raffigurante la Madonna con Bambino tra i Santi Giovanni e Oronzo. All'esterno della chiesa vi sono una edicola votiva con fonte miracolosa e la statua di Sant'Oronzo. Il colle Morrone  luogo in cui è ubicata la chiesa  è di grande interesse paesaggistico.
Grotta di Santa Maria d'Agnano,Chiese ipogee,074012,Ostuni (BR),Strada Statale 16,,72017,40.729523,17.577997,,,+390831307501,,,Servizi Igienici e docce-Visite guidate-Bar - Punto ristoro-Biglietteria-Merchandising ,Parcheggio gratuito,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/ostuni_santa_maria_dagnano_iris_1429023605384.jpg,Iris Soc. Coop.,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/strutture_rurali_solito_1429023605567.jpg,Carlos Solito,,,A circa 3 chilometri da  Ostuni   la Grotta di Santa Maria d'Agnano si trova all'interno dell'omonimo  parco archeologico   un'area di 13 ettari dove sono stati rinvenuti importanti reperti.     La grotta è una  cavità carsica  frequentata dal Paleolitico superiore fino al secondo millennio dopo Cristo  come luogo di culto e per le attività quotidiane. Qui sono stati scoperti i  resti di un cacciatore adulto  e di una  donna incinta  morta 25 mila anni fa  con il suo  imponente corredo funerario   fatto di 600 conchiglie disposte intorno al corpo  strumenti litici e monili.     Secondo i ritrovamenti  la cavità sarebbe stata un  santuario messapico  dedicato alla dea Demetra  poi riconvertito in luogo di culto anche in età cristiana  intitolato alla Madonna d'Agnano: sono ancora visibili le tracce di  affreschi   probabilmente di età bizantina  e una  piccola cappella cinquecentesca   con un affresco della Vergine  l'unico rimasto di un intero ciclo che arricchiva la chiesa. 
Grotta dell'Angelo,Chiese ipogee,074015,San Pancrazio Salentino (BR),Strada provinciale per Avetrana ,,72026,40.41853,17.840282,,,+393388287360 ,,,Visite guidate-Bar - Punto ristoro,Parcheggio gratuito,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/strutture_rurali_solito_1429179470736.jpg,Carlos Solito,http://www.viaggiareinpuglia.it/img/PaesaggioRurale/strutture_rurali_solito_1429179470966.jpg,Carlos Solito,,,A circa un chilometro dal centro abitato di  San Pancrazio Salentino   nel territorio della Masseria Torrevecchia  circondata da un grande parco  si apre la Grotta dell'Angelo  luogo di culto legato alla componente monastico-religiosa italo-greca.     L'accesso alla grotta è consentito da sette gradoni: all'interno  un grosso pilastro centrale sostiene la volta  in parte crollata  mentre in fondo si conserva una nicchia rettangolare dove era probabilmente collocato l'altare.     Le pareti sono affrescate con  figure di santi   rappresentati secondo lo stile bizantino  con ampi mantelli  vesti riccamente decorate  libri in mano e aureole in testa. Sulla parete sinistra  campeggia  San Vito   identificato sulla base della presenza del cane  elemento tradizionale della sua iconografia.     Anticamente utilizzata come tomba a camera  la grotta  insieme a uno  straordinario complesso di sili   antiche sepolture  è parte di un  insediamento basiliano  risalente al quarto secolo  tra i beni storici più importanti del paese. 
Osservatorio di ecologia appenninica,Musei  gallerie e pinacoteche,071044,Roseto Valfortore (FG),Vico Donatelli,7,71039,41.373558,15.098171,,,+390881970020,,,,,http://www.viaggiareinpuglia.it/img/LuoghiCultura/roseto_valfortore_osservatorio_di_ecologia_appenninica_monti_dauni_turismo_1427886608101.jpg,Monti Dauni Turismo,http://www.viaggiareinpuglia.it/img/LuoghiCultura/roseto_valfortore_osservatorio_di_ecologia_appenninica1_monti_dauni_turismo_1427886608252.jpg,Monti Dauni Turismo,,,A  Roseto Valfortore   l'Osservatorio di Ecologia Appenninica si adopera dal 2001 per lo studio e la salvaguardia del  lupo   ricomparso nell'area del Subappennino Dauno negli anni '80.    Il rinvenimento nella zona di alcuni esemplari di un animale che si riteneva ormai estinto ha infatti rafforzato la consapevolezza della necessità di tutelare la flora e la fauna locali  incoraggiando la nascita della struttura.     L'osservatorio  che ha una vocazione scientifica ma anche divulgativa  promuove  laboratori didattici  e iniziative di valorizzazione del patrimonio naturalistico del territorio. Le  sale visita  ricostruiscono l'habitat dei Monti Dauni e il  Centro di Esperienza ambientale «Il Lupo»  studia le abitudini del lupo appenninico.
Piazza Vittorio Emanuele,Luoghi di intrattenimento,074005,Cisternino (BR),Piazza Vittorio Emanuele,,72014,40.74184,17.426405,,info.cisternino@viaggiareinpuglia.it,+390804441100,,,Ricettività-Ristorazione-Shop prodotti artigianali-Shop prodotti enogastronomici-Bar - Punto ristoro,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/cisternino_troore_dellorologio_in_piazza_vittorio_emanuele_solito_1429606654735.jpg,Carlos Solito,,,,,Al cospetto della Torretta dell'Orologio batte il cuore della Valle d'Itria. È uno dei luoghi d'incontro più frequentati piazza Vittorio Emanuele  a   Cisternino    per molti la piazza dell'Orologio  tranquillo simbolo della cittadina e punto di riferimento per cittadini e turisti che  nella bella stagione  affollano la piazza e le vie circostanti.     Attività commerciali  legate alla ristorazione e all'artigianato  e un'atmosfera accogliente fanno della piazza un comodo  salotto all'aperto   che d'estate diventa cornice del festival «Pietre che cantano».
Corso Garibaldi,Luoghi di intrattenimento,071024,Foggia (FG),Corso Garibaldi,,71121,41.46196,15.542086,,,+390881792922,,,Ricettività-Ristorazione-Bar - Punto ristoro,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_foggia_1429614293658.jpg,,,,,,   Il centrale corso Garibaldi di  Foggia  rappresenta l'antico fulcro del potere cittadino. Poco distante dalla  Cattedrale   sul corso si affacciano edifici storici e dimore nobiliari: tra questi  il  Palazzo della Prefettura  e il  Municipio   entrambi d'epoca fascista. La facciata di quest'ultimo è incorniciata da due ampi scaloni simmetrici  che sovrastano l'accesso al cortile interno.     Nell'adiacente piazza XX Settembre si ammirano il settecentesco  Palazzo Perrone  e il Palazzo della Provincia che  dal 1860  fu sede degli uffici del Governo e della Prefettura di Capitanata.     Una parte del Palazzo della Provincia accoglie la collezione della  Galleria provinciale d'arte moderna e contemporanea . 
Villa comunale «Karol Wojtyla»,Giardini e ville comunali,071024,Foggia (FG),Piazza Cavour,1,71121,41.46195,15.552704,,,+390881792922,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_foggia_1429614500729.jpg,,,,,,La Villa comunale di  Foggia  è un parco dedicato a Karol Wojtyla  ovvero Papa Giovanni Paolo II  e si trova a poca distanza dalla Stazione ferroviaria.     L'ingresso alla villa è un  pronao monumentale  costituito da un doppio colonnato dorico. Ai lati sono disposti simmetricamente due padiglioni e palazzine ricostruite in stile neoclassico negli anni '50.     L'area rettangolare è pianeggiante ad eccezione della zona orientale del  Boschetto   cui si accede attraverso due rampe per circa 6 metri di dislivello. Al centro si trova un'ampia  fontana  incorniciata da aiuole mistilinee con palme e cipressi.     Sull'asse principale dei giardini si apre uno spiazzo con l' orchestra  in stile neoclassico. Lungo il percorso nel verde si avvicendano diverse vedute prospettiche  fino alla  grotta artificiale  che precede il Boschetto  dove si ammira un  tempietto  circolare.
